time,utm_x,utm_y,utm_z,theta,wind_speed,wind_dir,drone,seconds_after_takeoff
2022-08-24 10:30:00,513844,8265118,121.07607898383006,278.0974629648093,3.6367480182647705,3.171966344833374,drone90,240
2022-08-24 10:30:05,513845,8265049,123.6463136378014,278.1750832822019,3.669767038345337,3.1696327915191653,drone90,245
2022-08-24 10:30:10,513844,8264978,121.01525290244618,278.22490512797015,3.6439194240570068,3.155991268157959,drone90,250
2022-08-24 10:30:15,513843,8264903,118.62513485054976,278.2415890115605,3.503651956558227,3.1320302639007567,drone90,255
2022-08-24 10:30:20,513845,8264829,118.66312767328627,278.2525983341872,3.3216383857727054,3.1025668869018554,drone90,260
2022-08-24 10:30:25,513849,8264757,124.12444369711575,278.10437154273114,3.1930986557006835,3.079572057723999,drone90,265
2022-08-24 10:30:30,513846,8264686,123.2186995756118,278.0609821230238,3.1799339313507082,3.0853683681488038,drone90,270
2022-08-24 10:30:35,513845,8264609,119.40701503855992,278.1970213961591,3.137149011611938,3.0858623600006103,drone90,275
2022-08-24 10:30:40,513849,8264531,122.83308508039909,278.22714857638863,2.9776873435974123,3.0641874771118167,drone90,280
2022-08-24 10:30:45,513850,8264451,121.5699341502913,278.18086117170253,2.7687375316619875,3.026642198562622,drone90,285
2022-08-24 10:30:50,513850,8264367,120.39595981733005,278.04515331290065,2.4851102924346926,2.96319973564148,drone90,290
2022-08-24 10:30:55,513850,8264285,124.56727962095177,277.9482502227047,2.2534582710266116,2.891780160903931,drone90,295
2022-08-24 10:31:00,513852,8264206,125.36988322670477,277.886270664296,2.158580379486084,2.8558922863006595,drone90,300
2022-08-24 10:31:05,513852,8264123,122.90638540390663,277.8048969744914,2.07488604927063,2.8266689014434814,drone90,305
2022-08-24 10:31:10,513853,8264040,120.13721778436624,277.99750907593216,1.94841587638855,2.78295006942749,drone90,310
2022-08-24 10:31:15,513852,8263957,118.35434052447697,277.79444824783167,1.844062357902527,2.734800876617432,drone90,315
2022-08-24 10:31:20,513853,8263878,118.87002111040631,277.6037016966749,1.8132031030654905,2.6720394992828362,drone90,320
2022-08-24 10:31:25,513856,8263803,118.42427413810688,277.54429255608517,1.8939546566009517,2.6935416526794436,drone90,325
2022-08-24 10:31:30,513855,8263730,119.5039012784337,277.4734890121615,2.053872272491455,2.7662520999908446,drone90,330
2022-08-24 10:31:35,513852,8263655,119.81282553624541,277.5930001331627,2.198154680252075,2.8312454147338864,drone90,335
2022-08-24 10:31:40,513856,8263577,117.23577904131999,277.9811402482181,2.2499114170074455,2.858508190155029,drone90,340
2022-08-24 10:31:45,513818,8263513,119.53061743421623,278.17986909372195,2.245800514221191,2.8211264286041264,drone90,345
2022-08-24 10:31:50,513720,8263502,123.5617196939933,277.6925839155654,2.349905338287354,2.6735405960083005,drone90,350
2022-08-24 10:31:55,513623,8263500,124.63682241445936,277.47006828497894,2.518769348144531,2.524097370147705,drone90,355
2022-08-24 10:32:00,513588,8263570,121.5644845650448,277.542451600126,2.499580312728882,2.471910314559937,drone90,360
2022-08-24 10:32:05,513611,8263662,121.36706137425901,277.64670600855175,2.417483819961548,2.4538064517974854,drone90,365
2022-08-24 10:32:10,513617,8263757,123.10621161847234,277.7370994813026,2.350086849212645,2.4652356643676754,drone90,370
2022-08-24 10:32:15,513612,8263852,121.50144742413336,277.5684493029096,2.3033397274017338,2.463965127944946,drone90,375
2022-08-24 10:32:20,513612,8263949,119.45544701695727,277.41225234154996,2.285474029541015,2.4911251754760744,drone90,380
2022-08-24 10:32:25,513613,8264045,118.97526506534295,277.744067330346,2.2820870342254636,2.518254425048828,drone90,385
2022-08-24 10:32:30,513611,8264143,120.02196312015776,277.4142692944937,2.3038487682342526,2.559131015777588,drone90,390
2022-08-24 10:32:35,513612,8264242,120.92869796876093,277.3531504802111,2.328209440231323,2.6093366394042974,drone90,395
2022-08-24 10:32:40,513607,8264341,121.99780823240228,277.56679136849726,2.3437877311706545,2.647782562255859,drone90,400
2022-08-24 10:32:45,513609,8264439,123.26319308059385,278.105580313446,2.3482847480773925,2.654436185836792,drone90,405
2022-08-24 10:32:50,513607,8264533,123.42275597691591,278.2931394207915,2.345482873916626,2.576535951614379,drone90,410
2022-08-24 10:32:55,513605,8264630,122.69589470413123,277.82375133935915,2.3345592269897466,2.5067279930114745,drone90,415
2022-08-24 10:33:00,513607,8264730,121.97020179727602,277.93727874410024,2.353598192214966,2.512420915603638,drone90,420
2022-08-24 10:33:05,513605,8264823,120.00246070414471,278.0561036627242,2.4086837081909183,2.437369066238403,drone90,425
2022-08-24 10:33:10,513606,8264914,118.34155801820125,278.08227964838323,2.4245554485321046,2.3356630229949946,drone90,430
2022-08-24 10:33:15,513603,8265003,118.84675543160388,277.9214240609172,2.4637169055938726,2.2106484851837163,drone90,435
2022-08-24 10:33:20,513605,8265096,117.62999366596537,277.92899431337474,2.4819221134185794,2.1227651138305665,drone90,440
2022-08-24 10:33:25,513604,8265192,119.58680389866554,277.8791118810976,2.457230438232422,2.1348527412414553,drone90,445
2022-08-24 10:33:30,513604,8265288,120.6459356612658,277.92426335995503,2.4313028182983403,2.221807748794556,drone90,450
2022-08-24 10:33:35,513603,8265385,124.50144875903447,277.97771046951357,2.415823862075806,2.336565553665161,drone90,455
2022-08-24 10:33:40,513601,8265486,125.70618392079867,278.1088857494335,2.4647245330810543,2.483826311111451,drone90,460
2022-08-24 10:33:45,513595,8265592,125.0948153303789,278.0248041461602,2.6245734634399414,2.666705324172974,drone90,465
2022-08-24 10:33:50,513599,8265700,124.21600718884856,278.04382636026696,2.7894790878295903,2.8152025375366208,drone90,470
2022-08-24 10:33:55,513597,8265806,123.78182985985468,277.68596345941666,2.8923527030944824,2.9091466979980467,drone90,475
2022-08-24 10:34:00,513596,8265913,125.7492296779042,277.87664207381255,3.020951602935791,2.989722736358643,drone90,480
2022-08-24 10:34:05,513596,8266021,120.37622949316908,278.13787490995634,3.1369175395965576,3.048313320159912,drone90,485
2022-08-24 10:34:10,513596,8266123,117.35739112644778,278.2423001244525,3.113532005310059,3.051336057662964,drone90,490
